query,intent
I have a question about cancelling an order,queries_related_to_order
help canceling the order I have made,queries_related_to_order
I do not know how to cancel an order I have made,queries_related_to_order
where can I cancel the last order I made?,queries_related_to_order
I don't want the last order I made,queries_related_to_order
where could I cancel my order?,queries_related_to_order
I have to cancel the order I made,queries_related_to_order
how could I get information about cancelling orders?,queries_related_to_order
I want information about canceling orders,queries_related_to_order
assistance cancelling an order,queries_related_to_order
is it possible to cancel the last order?,queries_related_to_order
could you give me information about order cancellations?,queries_related_to_order
I need help with canceling the last order,queries_related_to_order
how can I cancel the last order I have made?,queries_related_to_order
how could I find information about cancelling an order?,queries_related_to_order
I would like to know more about order cancellations,queries_related_to_order
could you help me cancel the last order I have made?,queries_related_to_order
I want assistance to cancel the last order,queries_related_to_order
I have a problem with cancelling the order I made,queries_related_to_order
how could I cancel the last order I made?,queries_related_to_order
order cancelation,queries_related_to_order
I want assistance to cancel the order I have made,queries_related_to_order
how do I cancel the last order I have made?,queries_related_to_order
help me cancelling my order,queries_related_to_order
I have a problem with cancelling an order I made,queries_related_to_order
I have got to change an item of an order,queries_related_to_order
can you help me removing several items from an order?,queries_related_to_order
could you help me change an order I have made?,queries_related_to_order
I cannot change an item of an order,queries_related_to_order
problem with adding something,queries_related_to_order
where could I find information about changing an order?,queries_related_to_order
I don't know how I could add some items,queries_related_to_order
help to change an order,queries_related_to_order
I want assistance to remove something,queries_related_to_order
remove some items from an order,queries_related_to_order
can you help me changing the order I made?,queries_related_to_order
I cannot remove several items,queries_related_to_order
is it possible to change the order I have made?,queries_related_to_order
I want to remove some items from an order,queries_related_to_order
change an order,queries_related_to_order
I cannot change the last order,queries_related_to_order
is it possible to add some items?,queries_related_to_order
help changing an order,queries_related_to_order
I have a problem with changing my order,queries_related_to_order
could you help me add some items?,queries_related_to_order
I need assistance to change several items of an order,queries_related_to_order
I have problems with removing an item,queries_related_to_order
can you help me remove some items from an order?,queries_related_to_order
I have problems with removing some items,queries_related_to_order
I am trying to change an order I made,queries_related_to_order
I have got to add an item,queries_related_to_order
I want help adding some items to an order,queries_related_to_order
I need assistance to remove an item from an order,queries_related_to_order
is it possible to remove some items?,queries_related_to_order
how can I change the last order I have made?,queries_related_to_order
I need assistance to remove an item,queries_related_to_order
help me adding several items,queries_related_to_order
assistance to add something,queries_related_to_order
I need assistance to add an item,queries_related_to_order
how could I add an item?,queries_related_to_order
would it be possible to change some items of an order?,queries_related_to_order
how do I change several items of an order?,queries_related_to_order
I have a problem with removing something from an order,queries_related_to_order
I don't know how I can add an item to an order,queries_related_to_order
I do not know how I could change my shipping address,manage_shipping_address
I need assistance changing the shipping address,manage_shipping_address
can you tell me about updating the address?,manage_shipping_address
I have errors trying to update my shipping address,manage_shipping_address
want support changing the shipping address,manage_shipping_address
i do not know how to editmy shipping address,manage_shipping_address
I have issues changing my shipping address,manage_shipping_address
assistance changing the shipping address,manage_shipping_address
I want information about a shipping address change,manage_shipping_address
I would like to change my shipping address,manage_shipping_address
I want help changing the shipping address,manage_shipping_address
I don't know what I need to do to change my shipping address,manage_shipping_address
I want help trying to change my shipping address,manage_shipping_address
I have a trouble trying to change the address,manage_shipping_address
the address has changed can i edit it,manage_shipping_address
I need help changing the shipping address,manage_shipping_address
I want to know about changing my shipping address,manage_shipping_address
can you help me change my shipping address?,manage_shipping_address
I do not know how I can change the shipping address,manage_shipping_address
I would like to change the shipping address,manage_shipping_address
information about a shipping address change,manage_shipping_address
I cannot change the shipping address,manage_shipping_address
help me to change my shipping address,manage_shipping_address
I want help to change my shipping address,manage_shipping_address
could you tell me about changing the shipping address?,manage_shipping_address
I try to correct my shipping address,manage_shipping_address
can you tell me about changing my shipping address?,manage_shipping_address
I would like information about changing the shipping address,manage_shipping_address
i want assistance to modify the address,manage_shipping_address
help with a shipping address change,manage_shipping_address
I would like information about changing my shipping address,manage_shipping_address
I want assistance to change my shipping address,manage_shipping_address
supports trying to update my shipping address,manage_shipping_address
I cannot modify the  shipping address,manage_shipping_address
I do not know how I could change the shipping address,manage_shipping_address
I don't know what I have to do to change my shipping address,manage_shipping_address
i have an issue trying to edit my goddamn delivery address,manage_shipping_address
I need help to change the shipping address,manage_shipping_address
could I change the shipping address?,manage_shipping_address
how could I get information about a shipping address change?,manage_shipping_address
I need help to change my shipping address,manage_shipping_address
show me the termination fees,queries_related_to_payments/fee
I need  assistance to see the termination penalty,queries_related_to_payments/fee
I have got to see the termination charge,queries_related_to_payments/fee
could you help me check the cancellation fee?,queries_related_to_payments/fee
where can I check the cancellation fee?,queries_related_to_payments/fee
I need assistance checking the cancellation fees,queries_related_to_payments/fee
I don't know how I could check the cancellation fees,queries_related_to_payments/fee
I try to check the early termination penalties,queries_related_to_payments/fee
how much will you charge me if I break the contract?,queries_related_to_payments/fee
i do not know how i can see the early termination charges,queries_related_to_payments/fee
show early exit penalty,queries_related_to_payments/fee
i cannot find the termination penaltiesi need help,queries_related_to_payments/fee
see the termination penalties,queries_related_to_payments/fee
I need help checking the cancellation fee,queries_related_to_payments/fee
what do i have to do to check the withdrawal charge,queries_related_to_payments/fee
can you help me see the withdrawal fee?,queries_related_to_payments/fee
how do I check the cancellation fees?,queries_related_to_payments/fee
I don't know what I need to do to check the cancellation fee,queries_related_to_payments/fee
I do not know what to do to check the cancellation fee,queries_related_to_payments/fee
I do not know what to do to check the cancellation fees,queries_related_to_payments/fee
"I cannot find the early termination fees, can you help me?",queries_related_to_payments/fee
how can I check the cancellation fees?,queries_related_to_payments/fee
I don't know how I can check the cancellation fee,queries_related_to_payments/fee
what do I need to do to see the cancellation penalty?,queries_related_to_payments/fee
I don't know what to do to check the cancellation fee,queries_related_to_payments/fee
i have got to check the withdrawal fees can uhelp me,queries_related_to_payments/fee
could you help me to take a quick look at my invoice?,request_invoice
I don't know how to find the invoices from last month,request_invoice
I want assistance to find the invoices from June,request_invoice
I need assistance to check my invoices,request_invoice
I have to find my invoices,request_invoice
I want assistance finding the invoices from 7 months ago,request_invoice
could you help me find the invoice from six months ago?,request_invoice
assistance finding the invoice from my last purchase,request_invoice
I need to take a quick look at the invoice from 6 months ago,request_invoice
help finding the invoices from my last purchase,request_invoice
show me the invoices from 10 purchases ago,request_invoice
how could I check the invoices from eleven months ago?,request_invoice
help to find the invoices from October,request_invoice
I don't know what I need to do to check the invoice,request_invoice
how to find the invoices from October?,request_invoice
I need to take a quick look at my invoices,request_invoice
could you help me to find the invoice?,request_invoice
I would like to check the invoices from 10 purchases ago,request_invoice
how to check my invoices?,request_invoice
I do not know how to check the invoices from August,request_invoice
check invoices from last month,request_invoice
checking invoice from January,request_invoice
I do not know how to take a quick look at my invoices,request_invoice
can you help me take a quick look at the invoices from May?,request_invoice
could I check my invoices?,request_invoice
I do not know how I can check the invoices,request_invoice
checking invoice from last month,request_invoice
help me find the invoice,request_invoice
I cannot find the invoices from September,request_invoice
I want help taking a quick look at my invoices,request_invoice
I want to take a quick look at my invoices,request_invoice
I have to see the accepted payment options,queries_related_to_payments/fee
I do not know how to check the payment options,queries_related_to_payments/fee
i dont know what i need to do to list ur payment options,queries_related_to_payments/fee
can you help me checking what payment methods are available?,queries_related_to_payments/fee
help checking what payment methods are available,queries_related_to_payments/fee
what are your allowed payment methods?,queries_related_to_payments/fee
where to check the available payment methods?,queries_related_to_payments/fee
will you show me what payment methods you accept?,queries_related_to_payments/fee
I want help listing your accepted payment methods,queries_related_to_payments/fee
I need assistance to see your accepted payment options,queries_related_to_payments/fee
help to check what payment methods are available,queries_related_to_payments/fee
I try to check what payment methods you accept,queries_related_to_payments/fee
i need help checking what payment methods are allowed,queries_related_to_payments/fee
how do i check what damn payment methods are accepted,queries_related_to_payments/fee
where to check what payment methods are available?,queries_related_to_payments/fee
