intent,query
account_management,Open a standard account.
account_management,New standard account for wife.
account_management,Open pro account for wife.
account_management,Create standard account for wife.
account_management,I want assistance creating a standard account for my fiance.
account_management,Modify information on gold account.
account_management,Modifying information on platinum account.
account_management,Correct data on gold account.
account_management,Edit info on standard account.
account_management,Correct information on standard account.
account_management,Correcting information on gold account.
account_management,Changing information on gold account.
account_management,Switching to gold account.
account_management,I do not know how i can switch to the platinum account.
account_management,I need assistance creating a platinum account.
account_management,I don't have a pro account.
account_management,I want help creating a pro account.
account_management,Where can i get information about opening a pro account?
account_management,I need assistance to create a premium account.
account_management,I have a problem with opening a platinum account.
account_management,I have a question about opening a premium account.
account_management,Need to create a standard account.
account_management,I don't know what i need to do to create a premium account.
account_management,How do i create a standard account.
account_management,I need assistance opening a pro account for my daughter.
account_management,I want information about opening a premium account.
account_management,Another gold account for father.
account_management,I do not know what to do to create a gold account.
account_management,Create new gold account for daughter.
account_management,Where do i create a gold account?
account_management,How can i create a standard account.
account_management,I do not know what i have to do to delete a gold account.
account_management,Have a problem with the deletion of my premium account.
account_management,I want information about my platinum account termination.
account_management,I do not know what to do to delete a pro account.
account_management,I do not know what to do to delete the pro account.
account_management,I don't use my pro account.
account_management,I have a question about the termination of a premium account.
account_management,I don't know what i need to do to remove the platinum account.
account_management,I need information about the termination of a gold account.
account_management,Can i close a platinum account?
account_management,I need assistance canceling my platinum account.
account_management,What do i have to do to delete the premium account.
account_management,I don't know what to do to delete my gold account.
account_management,Update info on standard account.
account_management,Change information on platinum account.
account_management,Modifying details on premium account.
account_management,Updating information on pro account.
account_management,Updating details on gold account.
account_management,change data on premium account.
account_management,Editing information on gold account.
account_management,Edit data on premium account.
account_management,Edit details on gold account.
account_management,Modifying info on platinum account.
account_management,Modifying data on standard account.
account_management,Changing details on pro account.
account_management,Changing info on standard account.
account_management,Assistance to use the premium profile.
account_management,Switch to the premium account.
account_management,can i switch to the pro account.
account_management,I need help using the premium account.
account_management,How do i use the gold profile.
account_management,How to use the pro profile.
account_management,I want assistance to switch to the gold account.
account_management,Help to use the standard account.
account_management,Want assistance switching to the premium account.
account_management,Help to use the gold profile.
account_management,Help changing to the premium account.
account_management,How do i use the pro account.
account_management,Want help to change to the premium account.
account_management,I do not know what to do to change to the standard account.
account_management,I don't know how i can change to the platinum account.
account_management,Where can i switch to the standard account.
account_management,Help me using the pro profile.
account_management,Open gold account for wife.
account_management,Create gold account.
account_management,Open platinum account for wife.
account_management,I am not registered.
account_management,New platinum account for wife.
account_management,Open platinum account.
account_management,Create pro account for wife.
account_management,Open a platinum account for my dad.
account_management,New platinum account.
account_management,Open a platinum account.
account_management,New gold account for wife.
account_management,I am not registered yet.
account_management,New pro account for wife.
account_management,Open standard account for wife.
account_management,I do not know how i can create a platinum account.
account_management,New standard account.
account_management,Create standard account.
account_management,Create gold account for wife.
account_management,Open standard account.
account_management,Cancel standard account.
account_management,Cancel pro account.
account_management,Remove standard account.
account_management,I need information about the cancellation of a gold account.
account_management,Cancel platinum account.
account_management,Problem with standard account deletions.
account_management,Find information about the termination of a premium account.
account_management,Removing gold account.
account_management,I do not know how i can cancel the standard account.
account_management,Remove pro account.
account_management,I have a problem with the removal of my standard account.
account_management,Edit standard account.
account_management,change data on pro account.
account_management,Change information on standard account.
account_management,Updating info on gold account.
account_management,modifying standard account.
account_management,Edit info on gold account.
account_management,Edit platinum account.
